Date,Open,High,Low,Close,Volume
 2012/10/26,8.48,8.48,8.26,8.27,1265776
 2012/10/29,8.26,8.38,8.17,8.26,994404
 2012/10/30,8.26,8.34,8.21,8.32,505719
 2012/10/31,8.32,8.36,8.23,8.32,682939
 2012/11/01,8.35,8.42,8.26,8.38,756928
 2012/11/02,8.4,8.44,8.37,8.43,720679
 2012/11/05,8.42,8.5,8.35,8.47,497670
 2012/11/06,8.43,8.5,8.25,8.28,678065
 2012/11/07,8.28,8.35,8.21,8.25,530558
 2012/11/08,8.22,8.28,8.09,8.25,1037479
 2012/11/09,8.14,8.27,8.14,8.15,468828
 2012/11/12,8.17,8.22,7.97,8.07,1531542
 2012/11/13,8.07,8.07,7.86,7.86,863824
 2012/11/14,7.86,7.88,7.57,7.65,1707603
 2012/11/15,7.51,7.76,7.51,7.6,709400
 2012/11/16,7.61,7.68,7.49,7.59,621617
 2012/11/19,7.65,7.67,7.55,7.64,268801
 2012/11/20,7.65,7.72,7.52,7.53,330046
 2012/11/21,7.51,7.63,7.38,7.59,784635
 2012/11/22,7.6,7.6,7.33,7.36,623705
 2012/11/23,7.4,7.4,7.23,7.35,974802
 2012/11/26,7.29,7.57,7.2,7.36,982789
 2012/11/27,7.38,7.46,7.13,7.36,1522302
 2012/11/28,7.34,7.34,7.06,7.07,914917
 2012/11/29,7.09,7.19,7.03,7.06,481910
 2012/11/30,7.1,7.12,7.02,7.09,370349
 2012/12/03,7.1,7.19,7.03,7.13,722000
 2012/12/04,7.08,7.15,7.01,7.11,536522
 2012/12/05,7.07,7.35,7.07,7.25,1581645
 2012/12/06,7.29,7.29,7.09,7.17,770119
 2012/12/07,7.22,7.38,7.19,7.32,1474402
 2012/12/10,7.38,7.38,7.25,7.35,1727243
 2012/12/11,7.34,7.4,7.28,7.35,1258566
 2012/12/12,7.32,7.37,7.2,7.31,827755
 2012/12/13,7.39,7.39,7.01,7.13,1803023
 2012/12/14,7.12,7.47,7.04,7.38,13330463
 2012/12/17,7.37,7.55,7.28,7.54,5002929
 2012/12/18,7.53,7.6,7.41,7.46,2267879
 2012/12/19,7.46,7.55,7.38,7.55,8097914
 2012/12/20,7.54,7.59,7.42,7.59,1967453
 2012/12/21,7.55,7.58,7.4,7.58,2251952
 2012/12/24,7.5,7.57,7.44,7.54,1573297
 2012/12/25,7.51,8.15,7.45,7.98,5860387
 2012/12/26,7.9,8,7.86,7.99,5954955
 2012/12/27,7.99,8.23,7.91,8.05,5103376
 2012/12/28,8.03,8.22,7.96,8.21,3943271
 2012/12/31,8.24,8.36,8.08,8.22,2479583
 2013/01/04,8.22,8.22,8,8.03,1477826
 2013/01/07,8.03,8.13,7.99,8.07,1701915
 2013/01/08,8.07,8.1,7.96,8.06,1267296
 2013/01/09,8.01,8.07,7.9,7.99,1969107
 2013/01/10,7.98,8.2,7.92,8.2,8444877
 2013/01/11,8.19,8.34,8.11,8.23,3840676
 2013/01/14,8.2,8.49,8.09,8.47,3960849
 2013/01/15,8.4,8.65,8.36,8.52,3847729
 2013/01/16,8.51,8.6,8.2,8.42,2860637
 2013/01/17,8.42,8.53,8.29,8.42,1616049
 2013/01/18,8.4,8.53,8.35,8.49,1304024
 2013/01/21,8.45,8.55,8.4,8.41,1733381
 2013/01/22,8.41,8.46,8.23,8.24,1536509
 2013/01/23,8.23,8.34,8.1,8.24,3087184
 2013/01/24,8.28,8.45,8.03,8.07,3513112
 2013/01/25,8.03,8.15,8.02,8.03,1127202
 2013/01/28,8.1,8.23,8.03,8.2,1236942
 2013/01/29,8.21,8.29,8.16,8.25,1069944
 2013/01/30,8.25,8.3,8.11,8.16,1620877
 2013/01/31,8.16,8.21,8.04,8.08,1334636
 2013/02/01,8.02,8.33,8.02,8.28,2139229
 2013/02/04,8.33,8.4,8.09,8.3,2387895
 2013/02/05,8.25,8.35,8.18,8.31,2021493
 2013/02/06,8.29,8.4,8.28,8.3,2058739
 2013/02/07,8.34,8.34,8.12,8.21,1987967
 2013/02/08,8.21,8.35,8.2,8.31,1746684
 2013/02/18,8.31,8.38,8.27,8.3,2015771
 2013/02/19,8.37,8.38,8.17,8.25,1510509
 2013/02/20,8.22,8.33,8.14,8.31,1863485
 2013/02/21,8.3,8.3,8.06,8.09,2594283
 2013/02/22,8.06,8.14,8.01,8.02,1193337
 2013/02/25,8.03,8.1,7.97,8.05,1724027
 2013/02/26,8.05,8.05,7.88,7.89,2083151
 2013/02/27,7.83,7.96,7.83,7.93,1419976
 2013/02/28,7.91,8.2,7.91,8.17,2168928
 2013/03/01,8.19,8.26,8.11,8.2,1439478
 2013/03/04,8.1,8.15,7.9,7.99,1796139
 2013/03/05,8.05,8.19,7.98,8.15,1425702
 2013/03/06,8.19,8.32,8.12,8.25,2579965
 2013/03/07,8.3,8.38,8.21,8.36,3567061
 2013/03/08,8.32,8.43,8.26,8.33,2131079
 2013/03/11,8.29,8.38,8.2,8.21,1628832
 2013/03/12,8.18,8.21,7.98,8.07,2407147
 2013/03/13,8.1,8.1,7.9,8,709876
 2013/03/14,8.03,8.08,7.9,7.95,848287
 2013/03/15,7.92,8.13,7.92,8.12,1540250
 2013/03/18,8.07,8.11,7.97,7.99,1190118
 2013/03/19,8.03,8.07,7.94,8,692131
 2013/03/20,7.95,8.15,7.95,8.13,1266752
 2013/03/21,8.1,8.4,8.09,8.3,3068330
 2013/03/22,8.3,8.37,8.21,8.27,1346747
 2013/03/25,8.31,8.37,8.18,8.3,1667884
 2013/03/26,8.32,8.35,8.12,8.26,1617194
 2013/03/27,8.28,8.31,8.2,8.25,1490664
 2013/03/28,8.2,8.45,8,8.41,4036349
 2013/03/29,8.38,9.25,8.34,8.86,11018695
 2013/04/01,8.7,9.19,8.65,8.95,7367709
 2013/04/02,8.95,9.13,8.82,9.05,4457470
 2013/04/03,9.06,9.12,8.7,8.7,4200288
 2013/04/08,8.6,8.65,8.4,8.55,3944613
 2013/04/09,8.58,8.98,8.55,8.93,3990298
 2013/04/10,8.86,8.93,8.7,8.75,2668690
 2013/04/11,8.8,8.99,8.76,8.85,2127548
 2013/04/12,8.89,9.25,8.81,9.09,4653057
 2013/04/15,9.11,9.68,8.95,9.57,7546153
