Date,OPEN,HIGH,LOW,Close,VOLUME
24/03/2014 09:10,2151,2151,2149.8,2149.8,1334
24/03/2014 09:15,2149.8,2153,2142,2146.8,22065
24/03/2014 09:20,2146.6,2148.8,2145,2145.6,7196
24/03/2014 09:25,2145.2,2151.6,2144.8,2147.8,9027
24/03/2014 09:30,2147.8,2153.4,2145.4,2148.6,17292
24/03/2014 09:35,2148.6,2152.2,2143,2143.6,18282
24/03/2014 09:40,2143.6,2152.8,2143,2152,16120
24/03/2014 09:45,2151.8,2152.6,2139.6,2141.6,27848
24/03/2014 09:50,2141.6,2145.8,2141.6,2143.2,11259
24/03/2014 09:55,2143.6,2149.6,2142.2,2148.2,11450
24/03/2014 10:00,2147.6,2150.8,2145.2,2150,11775
24/03/2014 10:05,2149.6,2154.2,2147.6,2151,17670
24/03/2014 10:10,2150.8,2152.2,2149.2,2149.2,11121
24/03/2014 10:15,2149,2149.6,2144.2,2145.8,12365
24/03/2014 10:20,2145.8,2146.8,2142.4,2145.4,10608
24/03/2014 10:25,2145.4,2145.6,2142.2,2143.4,8666
24/03/2014 10:30,2143.4,2145.6,2142,2144.8,8524
24/03/2014 10:35,2144.8,2146,2142.2,2144,9361
24/03/2014 10:40,2144,2145.2,2139.8,2144.2,13099
24/03/2014 10:45,2144.4,2144.8,2139.4,2140.2,9499
24/03/2014 10:50,2140.2,2142.4,2132.2,2134,20006
24/03/2014 10:55,2134.4,2137.8,2133.2,2136.8,12917
24/03/2014 11:00,2137,2142.8,2137,2142,14081
24/03/2014 11:05,2141.6,2143,2140.4,2142.2,7435
24/03/2014 11:10,2142.2,2145.8,2141.4,2144,13483
24/03/2014 11:15,2144,2148.8,2143.2,2148.2,13551
24/03/2014 11:20,2148.2,2150.8,2146.4,2147,13272
24/03/2014 11:25,2147.2,2148.2,2146,2146.8,7283
24/03/2014 12:55,2147,2147.6,2147,2147.6,74
24/03/2014 13:00,2147.6,2149.8,2143.8,2148.4,11453
24/03/2014 13:05,2148.6,2149.6,2146.6,2148.8,7425
24/03/2014 13:10,2149,2150.2,2144.2,2144.2,11509
24/03/2014 13:15,2144.4,2144.6,2141.2,2142.2,11604
24/03/2014 13:20,2142.2,2149.8,2140.4,2148,14826
24/03/2014 13:25,2148,2150.2,2147.4,2148.6,12442
24/03/2014 13:30,2148.2,2149.8,2147,2149,9791
24/03/2014 13:35,2149,2152.8,2144.6,2146.6,22243
24/03/2014 13:40,2146.4,2151,2146.2,2150.8,10799
24/03/2014 13:45,2150.4,2152.4,2147.8,2151.2,10991
24/03/2014 13:50,2151.2,2156,2149.8,2156,18132
24/03/2014 13:55,2156,2157,2151.8,2153.6,16101
24/03/2014 14:00,2152.8,2156.2,2150.8,2151.2,13095
24/03/2014 14:05,2151.6,2163.4,2151.2,2161.4,26916
24/03/2014 14:10,2161.4,2163.2,2159.4,2162.8,13180
24/03/2014 14:15,2162.6,2162.6,2157.8,2158.2,13156
24/03/2014 14:20,2158.2,2160.6,2156,2159.6,13037
24/03/2014 14:25,2159.8,2161,2158,2158.8,9670
24/03/2014 14:30,2158.6,2161,2157,2160.6,9503
24/03/2014 14:35,2160.6,2160.6,2151.6,2151.6,18215
24/03/2014 14:40,2151.4,2151.6,2148.6,2148.6,15846
24/03/2014 14:45,2148.2,2151.2,2148,2150.2,10413
24/03/2014 14:50,2150.2,2152.6,2149.2,2152.2,8475
24/03/2014 14:55,2152.2,2152.4,2149.8,2150.4,6470
24/03/2014 15:00,2150.6,2152.4,2149.6,2150.4,6499
24/03/2014 15:05,2150.4,2151.4,2149.2,2149.6,5306
24/03/2014 15:10,2149.6,2154,2148.2,2154,11139
25/03/2014 09:10,2155,2155,2153.6,2153.6,569
25/03/2014 09:15,2153.4,2153.4,2145,2147.8,14133
25/03/2014 09:20,2147.8,2148.6,2146.2,2146.2,4520
25/03/2014 09:25,2146.2,2148,2144.6,2146.4,6281
25/03/2014 09:30,2146.2,2147.4,2143.2,2147.4,10717
25/03/2014 09:35,2147.4,2148,2144.4,2145,9940
25/03/2014 09:40,2144.8,2147.6,2142.2,2147.2,12590
25/03/2014 09:45,2147.6,2156.4,2147.6,2154.6,24251
25/03/2014 09:50,2154.4,2155.2,2152.4,2153.4,12579
25/03/2014 09:55,2153,2153.6,2149,2149.6,11726
25/03/2014 10:00,2149.8,2150.4,2145.6,2148.6,14236
25/03/2014 10:05,2148.8,2157.4,2148,2156.6,16911
25/03/2014 10:10,2156.2,2156.8,2154.2,2155.8,11924
25/03/2014 10:15,2155.6,2158.2,2154.2,2157,14962
25/03/2014 10:20,2156.6,2159.4,2152.6,2153.8,15260
25/03/2014 10:25,2154,2160.6,2153,2158,17552
25/03/2014 10:30,2157.8,2157.8,2150.4,2150.4,17139
25/03/2014 10:35,2150.6,2152.2,2150,2150.2,11326
25/03/2014 10:40,2150.2,2153.2,2148.8,2150.8,13010
25/03/2014 10:45,2150.4,2157,2150,2155.6,13851
25/03/2014 10:50,2155.6,2156,2149,2151.4,12646
25/03/2014 10:55,2151.2,2153.4,2149.2,2152.4,10091
25/03/2014 11:00,2152.4,2157.8,2151,2156.4,17664
25/03/2014 11:05,2156.6,2167.2,2155.6,2164.8,30863
25/03/2014 11:10,2164.6,2166.6,2158.2,2166.6,24094
25/03/2014 11:15,2166.6,2176.2,2165.6,2166,36747
25/03/2014 11:20,2165.8,2166.4,2160.8,2163.8,19923
25/03/2014 11:25,2163.8,2164,2160.8,2162.2,9805
25/03/2014 12:55,2162.6,2162.6,2162.6,2162.6,134
25/03/2014 13:00,2162.2,2164,2159.6,2159.8,11900
25/03/2014 13:05,2159.6,2161.6,2157.8,2159.2,10519
25/03/2014 13:10,2159.4,2162.4,2159,2160.8,9209
25/03/2014 13:15,2161.2,2161.6,2156.8,2159,13266
25/03/2014 13:20,2159,2161.4,2158.2,2159,8844
25/03/2014 13:25,2159.2,2163,2159.2,2159.4,11415
25/03/2014 13:30,2159.2,2160,2155.2,2156,14045
25/03/2014 13:35,2156,2156.6,2152.6,2153,12606
25/03/2014 13:40,2153.2,2155.8,2152,2152.4,12443
25/03/2014 13:45,2152.4,2155.4,2150.2,2150.2,14680
25/03/2014 13:50,2150.4,2153.8,2150.2,2153.4,10148
25/03/2014 13:55,2153.4,2155,2149.4,2153.8,14201
25/03/2014 14:00,2154,2155.4,2152.4,2154.2,9550
25/03/2014 14:05,2154.2,2156,2151,2151.6,11415
25/03/2014 14:10,2151.6,2152.8,2149,2150.6,10765
25/03/2014 14:15,2151,2151.6,2145.2,2146.2,15739
25/03/2014 14:20,2146,2152.2,2146,2152,14378
25/03/2014 14:25,2152,2153,2149.2,2150.2,10658
25/03/2014 14:30,2150.2,2153.6,2150.2,2151.4,9470
25/03/2014 14:35,2151.6,2152.8,2150.4,2152.8,7334
25/03/2014 14:40,2152.6,2155,2151.6,2153.4,11460
25/03/2014 14:45,2153.8,2156.6,2152.2,2156.6,11830
25/03/2014 14:50,2156.8,2157.4,2155,2155.4,9769
25/03/2014 14:55,2155.4,2155.4,2151,2151.8,11059
25/03/2014 15:00,2151.4,2153,2151.2,2151.4,6152
25/03/2014 15:05,2151,2152.4,2150,2151.6,5414
25/03/2014 15:10,2151.2,2152.8,2150.2,2151.6,8732
26/03/2014 09:10,2161.8,2161.8,2160,2160,1544
26/03/2014 09:15,2160.6,2164,2156,2159.2,19965
26/03/2014 09:20,2159,2162.6,2156.8,2161.6,9951
26/03/2014 09:25,2162,2164.6,2159.2,2162.2,10408
26/03/2014 09:30,2162.4,2165.2,2160.4,2164.8,15879
26/03/2014 09:35,2164.4,2166,2159,2159,17822
26/03/2014 09:40,2159.2,2160.6,2157.8,2159.2,10740
26/03/2014 09:45,2159.4,2159.8,2154.2,2158.2,17104
26/03/2014 09:50,2157.8,2166,2157.8,2164.2,21876
26/03/2014 09:55,2164.2,2165,2159.4,2160.2,14896
26/03/2014 10:00,2160,2160.4,2156,2157.4,11959
26/03/2014 10:05,2157.2,2157.4,2153.2,2154.6,13735
26/03/2014 10:10,2154.4,2157,2153.4,2154.2,10600
26/03/2014 10:15,2154.2,2157.4,2152.4,2156.2,13080
26/03/2014 10:20,2156.4,2157.2,2152.2,2152.8,8892
26/03/2014 10:25,2153,2155,2151.4,2153.2,10978
26/03/2014 10:30,2153.4,2155.6,2152.6,2154.8,9480
26/03/2014 10:35,2154.6,2155.2,2152.4,2152.4,7773
26/03/2014 10:40,2152.4,2155.8,2151.8,2154.8,8819
26/03/2014 10:45,2155,2157.4,2149.2,2150.6,18861
26/03/2014 10:50,2150.6,2157.4,2150.6,2155.6,15830
26/03/2014 10:55,2155.6,2158.6,2155.4,2157.8,12031
26/03/2014 11:00,2157.4,2159.2,2155.4,2156.2,9887
26/03/2014 11:05,2156.6,2158.6,2155.2,2157.6,11056
26/03/2014 11:10,2157.8,2158.2,2151.2,2151.8,15011
26/03/2014 11:15,2152.2,2153.2,2150.8,2151.4,8193
26/03/2014 11:20,2151.2,2154.6,2150.2,2151.4,11581
26/03/2014 11:25,2151.4,2154,2151,2152.2,7777
26/03/2014 12:55,2153.2,2153.2,2152.4,2152.4,189
26/03/2014 13:00,2152.2,2153,2146.2,2147.2,14688
26/03/2014 13:05,2147.6,2150,2147.4,2149.6,7629
26/03/2014 13:10,2149.4,2153.6,2148.6,2152.8,10451
26/03/2014 13:15,2153.2,2153.8,2151.4,2153.6,8602
26/03/2014 13:20,2153.8,2154.4,2152.8,2153.2,8129
26/03/2014 13:25,2153.2,2154.6,2152.6,2154.2,7496
26/03/2014 13:30,2154.2,2154.4,2150.4,2150.4,9609
26/03/2014 13:35,2150.4,2152.2,2148.8,2149.6,9453
26/03/2014 13:40,2149.2,2150.2,2147,2148.2,10355
26/03/2014 13:45,2148.4,2149,2146.6,2148,9182
26/03/2014 13:50,2148,2150,2146.2,2146.8,11071
26/03/2014 13:55,2146.6,2153.6,2145.2,2151.8,21121
26/03/2014 14:00,2152.2,2152.8,2143.8,2144.6,15983
26/03/2014 14:05,2144.6,2147.8,2144.6,2147.2,11154
26/03/2014 14:10,2147,2147.6,2145.6,2146,6170
26/03/2014 14:15,2146.4,2147.4,2145,2145.8,6533
26/03/2014 14:20,2146,2147.2,2144.4,2146.4,8483
26/03/2014 14:25,2146.4,2150.8,2146.2,2150.4,13144
26/03/2014 14:30,2150.4,2153,2150,2151.8,14958
26/03/2014 14:35,2151.8,2154.8,2151,2154.8,11898
26/03/2014 14:40,2155,2155.8,2152.2,2152.6,13471
26/03/2014 14:45,2152.2,2155.2,2152,2153.8,10294
26/03/2014 14:50,2153.8,2154.6,2152,2154.2,8348
26/03/2014 14:55,2154,2154.4,2153,2154.2,5394
26/03/2014 15:00,2154.4,2156.6,2153,2154.8,10570
26/03/2014 15:05,2155,2155.4,2153.6,2154.4,5670
26/03/2014 15:10,2154.8,2154.8,2151.8,2151.8,10145
27/03/2014 09:10,2146.8,2146.8,2146.4,2146.4,922
27/03/2014 09:15,2145,2149.2,2144.6,2148.4,11999
27/03/2014 09:20,2148.2,2148.6,2145.8,2147.4,6385
27/03/2014 09:25,2147.2,2149,2147,2148.6,4427
27/03/2014 09:30,2149,2150.6,2146.4,2147.4,11709
27/03/2014 09:35,2147.4,2148.4,2144,2148,13795
27/03/2014 09:40,2148.2,2149.2,2146.2,2147.4,11243
27/03/2014 09:45,2147.2,2147.4,2143.4,2143.6,13700
27/03/2014 09:50,2143.8,2147.6,2143.4,2146.4,10978
27/03/2014 09:55,2146.4,2148.2,2141.4,2141.6,18310
27/03/2014 10:00,2141.6,2142.4,2136,2137,21836
27/03/2014 10:05,2137,2138.6,2135.8,2135.8,10414
27/03/2014 10:10,2135.6,2138,2133.8,2136,14224
27/03/2014 10:15,2135.8,2137.6,2135,2137.2,8841
27/03/2014 10:20,2137.6,2137.6,2134.4,2137.4,8573
27/03/2014 10:25,2137.4,2138,2135,2135.8,9022
27/03/2014 10:30,2135.8,2136.2,2131.2,2131.4,15497
27/03/2014 10:35,2131.8,2132.4,2124.8,2125.4,19858
27/03/2014 10:40,2125.4,2129,2125,2127.6,12382
27/03/2014 10:45,2128,2133.4,2127.6,2131.4,15847
27/03/2014 10:50,2131.6,2133.2,2130,2130.2,10534
27/03/2014 10:55,2130.2,2136.8,2130.2,2133.8,17478
27/03/2014 11:00,2134,2134.6,2130.6,2131.8,9974
27/03/2014 11:05,2131.8,2137.8,2130.8,2136.4,16724
27/03/2014 11:10,2136.4,2136.6,2131.4,2132.4,11903
27/03/2014 11:15,2132.4,2132.8,2128.6,2128.6,13736
27/03/2014 11:20,2128.6,2132,2128.2,2130,10187
27/03/2014 11:25,2130.2,2133.6,2129.4,2131.4,7967
27/03/2014 12:55,2133,2133,2133,2133,370
27/03/2014 13:00,2133.8,2134.4,2130.6,2132,9145
27/03/2014 13:05,2131.6,2135.6,2131.6,2135.6,9578
27/03/2014 13:10,2135.8,2136.2,2133.2,2134,8845
27/03/2014 13:15,2134,2134.2,2130.6,2131.2,9624
27/03/2014 13:20,2131.2,2137.6,2129.2,2137.6,18621
27/03/2014 13:25,2137.4,2146.6,2137.4,2146.6,32591
27/03/2014 13:30,2147,2148.4,2143.6,2144.2,23901
27/03/2014 13:35,2144.2,2152.4,2142,2151.6,23830
27/03/2014 13:40,2151.4,2163.4,2150,2161.4,44408
27/03/2014 13:45,2161.4,2165.4,2158.6,2164.8,33025
27/03/2014 13:50,2164.6,2172.6,2163.4,2169.2,34402
27/03/2014 13:55,2169.2,2170.6,2166.2,2168.2,19669
