Date,OPEN,HIGH,LOW,Close,VOLUME
21/04/2014 09:10,2213,2213,2211.8,2211.8,1316
21/04/2014 09:15,2211.4,2213,2201.2,2207.4,20305
21/04/2014 09:20,2206.8,2209,2205,2205,7139
21/04/2014 09:25,2205,2209.8,2203.4,2209.8,8890
21/04/2014 09:30,2210.4,2218,2209,2217.2,20940
21/04/2014 09:35,2216.4,2222,2213.6,2220.4,19786
21/04/2014 09:40,2220.6,2223,2218.2,2218.8,14649
21/04/2014 09:45,2218.8,2221.8,2216,2216.8,13673
21/04/2014 09:50,2216.8,2222,2216.4,2221.6,12146
21/04/2014 09:55,2222,2224,2219.4,2221.4,12244
21/04/2014 10:00,2221.4,2221.8,2217,2217.8,10486
21/04/2014 10:05,2218,2229,2215.4,2226.8,26690
21/04/2014 10:10,2226.8,2228,2226,2227.8,9930
21/04/2014 10:15,2227.2,2227.8,2223,2224.6,11405
21/04/2014 10:20,2224.4,2227.2,2222.4,2223.4,10279
21/04/2014 10:25,2223.6,2234,2222.8,2229.2,20824
21/04/2014 10:30,2229.6,2238,2229.6,2236.6,23776
21/04/2014 10:35,2236.6,2238.6,2233.2,2235.4,16513
21/04/2014 10:40,2235,2235.8,2231.8,2232.2,12265
21/04/2014 10:45,2232.2,2234.6,2228.6,2229.2,15070
21/04/2014 10:50,2229.2,2231.2,2227.6,2229,12095
21/04/2014 10:55,2229,2230.4,2224.8,2224.8,13557
21/04/2014 11:00,2224.6,2227.6,2224.6,2226.6,8788
21/04/2014 11:05,2226.6,2232,2226.6,2230,13956
21/04/2014 11:10,2230.2,2231,2227.6,2230,8550
21/04/2014 11:15,2230.2,2230.8,2218.8,2219.8,23446
21/04/2014 11:20,2219.8,2220.8,2218.8,2219.2,9939
21/04/2014 11:25,2219.2,2221.4,2218.2,2219.4,8890
21/04/2014 12:55,2218.8,2218.8,2218.4,2218.4,170
21/04/2014 13:00,2218.4,2222.6,2217,2220.2,10564
21/04/2014 13:05,2220,2220.6,2218,2219,6787
21/04/2014 13:10,2219.4,2221.6,2218.6,2219.2,6790
21/04/2014 13:15,2219,2221.4,2218.4,2220.8,7317
21/04/2014 13:20,2220.6,2222,2219.2,2219.6,6275
21/04/2014 13:25,2219.8,2222.6,2216.4,2220.2,16962
21/04/2014 13:30,2220,2220.2,2215.6,2216.4,11192
21/04/2014 13:35,2216.6,2219.6,2216,2218,8315
21/04/2014 13:40,2217.8,2220.8,2216.8,2220,8491
21/04/2014 13:45,2220.2,2220.2,2216.8,2217.4,6880
21/04/2014 13:50,2217.6,2218.4,2214.8,2215.4,9691
21/04/2014 13:55,2215.2,2219.2,2215.2,2218.2,9494
21/04/2014 14:00,2217.6,2218,2211.2,2212.2,15531
21/04/2014 14:05,2212.2,2213.4,2210.8,2211.4,9915
21/04/2014 14:10,2211.2,2212.8,2209.4,2212,13121
21/04/2014 14:15,2211.8,2213.8,2210.8,2210.8,9321
21/04/2014 14:20,2211.2,2211.6,2205.4,2205.8,18569
21/04/2014 14:25,2205.8,2206.6,2202.2,2202.2,19513
21/04/2014 14:30,2202.6,2202.6,2195.6,2198.2,26227
21/04/2014 14:35,2197.8,2199,2194.8,2196,13072
21/04/2014 14:40,2196.2,2197.4,2185,2185,23787
21/04/2014 14:45,2184.6,2189.2,2184,2188.6,14255
21/04/2014 14:50,2188.8,2190.2,2186.2,2186.6,13286
21/04/2014 14:55,2186.6,2187.4,2178.8,2179.6,19080
21/04/2014 15:00,2179.8,2181.6,2175,2179,14110
21/04/2014 15:05,2179.4,2179.6,2175.8,2179.2,9400
21/04/2014 15:10,2179.2,2193,2178,2193,13436
22/04/2014 09:10,2174.2,2175.2,2174.2,2175.2,859
22/04/2014 09:15,2176,2183.6,2176,2182,13928
22/04/2014 09:20,2181.8,2184.2,2181.4,2183.4,6774
22/04/2014 09:25,2183.6,2185,2183.2,2184,6243
22/04/2014 09:30,2184,2188,2183,2185.6,13128
22/04/2014 09:35,2185.4,2188.6,2184.8,2186.6,12962
22/04/2014 09:40,2187.2,2188.4,2185.2,2186.6,10014
22/04/2014 09:45,2187.2,2191.2,2186.6,2189,14228
22/04/2014 09:50,2189.8,2193.6,2189.2,2190,16833
22/04/2014 09:55,2190.4,2190.8,2184.4,2185.4,15579
22/04/2014 10:00,2185.4,2186,2181.6,2182.8,14543
22/04/2014 10:05,2182.6,2185.2,2181.6,2184.2,11251
22/04/2014 10:10,2184.6,2185.2,2181.2,2185.2,11078
22/04/2014 10:15,2185,2190.6,2184.6,2189,16685
22/04/2014 10:20,2188.8,2189.2,2187,2188.6,9746
22/04/2014 10:25,2188.6,2188.6,2181.8,2183,12677
22/04/2014 10:30,2183,2185.6,2182,2182.8,10864
22/04/2014 10:35,2182.8,2184.2,2181.6,2181.6,9458
22/04/2014 10:40,2181.4,2184.6,2178,2179.8,18659
22/04/2014 10:45,2179.4,2184,2178,2183.2,16674
22/04/2014 10:50,2183.4,2183.4,2178.2,2180.2,12540
22/04/2014 10:55,2180.2,2181.2,2178.4,2180.2,7719
22/04/2014 11:00,2180.2,2182.4,2177,2181.8,16069
22/04/2014 11:05,2181.8,2181.8,2177.4,2178.8,11081
22/04/2014 11:10,2178.8,2187.8,2178.4,2187.4,20294
22/04/2014 11:15,2187.4,2187.4,2184.6,2186.8,10251
22/04/2014 11:20,2186.8,2188.8,2185.6,2185.8,9283
22/04/2014 11:25,2186,2186.2,2182.2,2182.4,10438
22/04/2014 12:55,2182.8,2182.8,2182.4,2182.4,245
22/04/2014 13:00,2182.8,2185.2,2181.2,2182.8,8732
22/04/2014 13:05,2182.4,2182.6,2180.8,2181.8,6391
22/04/2014 13:10,2181.8,2183.2,2181.6,2182.8,6660
22/04/2014 13:15,2182.4,2183.6,2179.4,2180.2,11484
22/04/2014 13:20,2180.2,2180.4,2175.2,2175.6,11931
22/04/2014 13:25,2175.6,2175.6,2168.2,2170.6,24580
22/04/2014 13:30,2170.2,2172.4,2167.4,2169,15440
22/04/2014 13:35,2169.2,2170.6,2163.6,2164.4,18437
22/04/2014 13:40,2164.6,2168.6,2163.8,2166.4,12483
22/04/2014 13:45,2166.2,2171,2166.2,2168.4,12163
22/04/2014 13:50,2168.8,2175.8,2168.2,2174.8,16397
22/04/2014 13:55,2174.8,2177.6,2174.6,2176.4,18639
22/04/2014 14:00,2176.6,2178.4,2175,2176,13724
22/04/2014 14:05,2176,2176,2173.4,2175.4,10941
22/04/2014 14:10,2175.6,2176.6,2172.8,2176.2,12151
22/04/2014 14:15,2176.2,2182.6,2175.4,2180.6,21294
22/04/2014 14:20,2180.6,2182,2177.8,2182,11510
22/04/2014 14:25,2182,2182.8,2177.4,2182,14034
22/04/2014 14:30,2182,2187.4,2181.4,2187,20464
22/04/2014 14:35,2186.8,2192.6,2186.2,2191.8,20622
22/04/2014 14:40,2191.6,2191.6,2188.2,2191,12427
22/04/2014 14:45,2191,2198,2189.4,2193,25992
22/04/2014 14:50,2192.8,2193,2189.2,2191.8,14946
22/04/2014 14:55,2192,2194.2,2190.6,2192.4,10902
22/04/2014 15:00,2192.8,2194.2,2191.8,2193.6,6960
22/04/2014 15:05,2193.6,2193.6,2191.4,2192,6607
22/04/2014 15:10,2192,2193,2187.4,2187.4,12838
23/04/2014 09:10,2191.4,2191.4,2190.8,2190.8,1027
23/04/2014 09:15,2191.4,2191.8,2185.2,2185.4,14635
23/04/2014 09:20,2185.6,2187.2,2184.8,2185.4,6333
23/04/2014 09:25,2185.4,2186.2,2182.8,2184.2,8678
23/04/2014 09:30,2183.6,2187.2,2182.6,2186.6,12103
23/04/2014 09:35,2186.8,2189.6,2184.2,2184.6,13626
23/04/2014 09:40,2184.8,2193.8,2184.8,2193.6,15688
23/04/2014 09:45,2193.6,2193.6,2185.6,2186.2,17909
23/04/2014 09:50,2186,2186,2182.6,2185,14133
23/04/2014 09:55,2185.2,2186.2,2183.8,2185.2,7784
23/04/2014 10:00,2185,2188.6,2184.8,2186.2,10951
23/04/2014 10:05,2186.4,2191,2185.8,2190.2,13626
23/04/2014 10:10,2190.4,2190.6,2187.2,2187.8,10305
23/04/2014 10:15,2187.8,2190.8,2184.2,2189.8,17656
23/04/2014 10:20,2190,2192.6,2189.4,2190,15237
23/04/2014 10:25,2190,2196.8,2189.6,2191.6,22217
23/04/2014 10:30,2192,2194,2190.6,2193,13373
23/04/2014 10:35,2193,2196.4,2189.2,2190,17593
23/04/2014 10:40,2190.4,2194.4,2189.6,2192,11035
23/04/2014 10:45,2191.6,2193.6,2190,2190.8,8957
23/04/2014 10:50,2190.6,2191.2,2185.2,2185.6,16139
23/04/2014 10:55,2185.6,2186.6,2181.2,2183.4,17216
23/04/2014 11:00,2183.2,2186,2183,2184.8,10637
23/04/2014 11:05,2184.8,2185.8,2183,2185,7459
23/04/2014 11:10,2185,2185.4,2180,2180,14654
23/04/2014 11:15,2179.8,2182.8,2177.8,2182,15512
23/04/2014 11:20,2181.8,2182.8,2180.4,2181,6487
23/04/2014 11:25,2181.2,2181.8,2178.6,2181.6,9800
23/04/2014 12:55,2181,2181.2,2181,2181.2,205
23/04/2014 13:00,2181.6,2182.2,2180.2,2180.8,5683
23/04/2014 13:05,2180.6,2183.6,2179.2,2183,9325
23/04/2014 13:10,2183.4,2183.4,2181.8,2182.8,5981
23/04/2014 13:15,2182.8,2183.6,2179.4,2180.6,9554
23/04/2014 13:20,2180.6,2184,2180,2183.8,8204
23/04/2014 13:25,2183.6,2185.6,2182.8,2185.6,11482
23/04/2014 13:30,2185.6,2186.6,2183.8,2184.8,11158
23/04/2014 13:35,2184.8,2185.6,2183.6,2184,7283
23/04/2014 13:40,2184.2,2186.2,2183.8,2185.6,7758
23/04/2014 13:45,2185.8,2189.2,2183.8,2188.2,13667
23/04/2014 13:50,2188.2,2189.6,2186.6,2186.6,9493
23/04/2014 13:55,2186.6,2187.8,2185,2186.2,10554
23/04/2014 14:00,2186,2188,2180.6,2181.2,16700
23/04/2014 14:05,2181.6,2182.2,2180,2181.6,10751
23/04/2014 14:10,2181.4,2183,2181.2,2181.6,7624
23/04/2014 14:15,2181.4,2182.2,2180.2,2180.6,7053
23/04/2014 14:20,2180.8,2181.4,2175.6,2178,19344
23/04/2014 14:25,2177.8,2181.4,2177.8,2181,13709
23/04/2014 14:30,2180.8,2184.4,2180.6,2182.4,11585
23/04/2014 14:35,2182.2,2186,2182.2,2185.6,13502
23/04/2014 14:40,2185.6,2185.8,2183.6,2185.8,8585
23/04/2014 14:45,2186,2187.6,2185,2186.2,11554
23/04/2014 14:50,2186.2,2187,2185.4,2186.6,7006
23/04/2014 14:55,2186.6,2186.8,2185,2186.6,7908
23/04/2014 15:00,2186.4,2186.8,2184.6,2185.2,6882
23/04/2014 15:05,2185.2,2187.2,2185,2185,7020
23/04/2014 15:10,2185.2,2186.2,2183,2183,9008
24/04/2014 09:10,2186,2187.2,2186,2187.2,662
24/04/2014 09:15,2187.2,2188.2,2182.6,2185,11739
24/04/2014 09:20,2185,2185,2182,2183,7090
24/04/2014 09:25,2183,2184.6,2181.8,2183.8,5615
24/04/2014 09:30,2183.6,2186.6,2182.4,2184.4,10231
24/04/2014 09:35,2183.8,2183.8,2181.4,2181.8,8395
24/04/2014 09:40,2182,2184.8,2182,2184,8963
24/04/2014 09:45,2183.8,2186.2,2183.8,2186,9487
24/04/2014 09:50,2185.8,2186.2,2183.8,2184.8,7185
24/04/2014 09:55,2184.4,2184.4,2182.4,2182.8,7012
