Date,OPEN,HIGH,LOW,Close,VOLUME
19/05/2014 09:05:00,6130,6130,6130,6130,2
19/05/2014 09:06:00,6124,6142,6124,6142,32
19/05/2014 09:07:00,6152,6154,6152,6152,22
19/05/2014 09:08:00,6152,6152,6132,6132,4
19/05/2014 09:13:00,6150,6150,6150,6150,6
19/05/2014 09:14:00,6150,6150,6150,6150,4
19/05/2014 09:17:00,6150,6150,6150,6150,4
19/05/2014 09:20:00,6184,6184,6184,6184,20
19/05/2014 09:21:00,6178,6192,6178,6180,58
19/05/2014 09:22:00,6180,6180,6178,6178,28
19/05/2014 09:24:00,6178,6178,6178,6178,4
19/05/2014 09:26:00,6174,6174,6174,6174,2
19/05/2014 09:27:00,6170,6170,6154,6154,6
19/05/2014 09:28:00,6174,6174,6174,6174,8
19/05/2014 09:29:00,6174,6174,6174,6174,8
19/05/2014 09:31:00,6174,6174,6172,6172,12
19/05/2014 09:32:00,6172,6172,6172,6172,2
19/05/2014 09:34:00,6172,6172,6172,6172,4
19/05/2014 09:40:00,6190,6190,6190,6190,30
19/05/2014 09:41:00,6184,6184,6182,6182,6
19/05/2014 09:42:00,6180,6180,6180,6180,2
19/05/2014 09:44:00,6178,6178,6178,6178,2
19/05/2014 09:52:00,6164,6164,6164,6164,20
19/05/2014 09:59:00,6164,6164,6164,6164,2
19/05/2014 10:00:00,6164,6164,6164,6164,2
19/05/2014 10:01:00,6164,6164,6164,6164,4
19/05/2014 10:08:00,6168,6168,6168,6168,2
19/05/2014 10:11:00,6166,6166,6166,6166,2
19/05/2014 10:13:00,6168,6168,6168,6168,2
19/05/2014 10:32:00,6160,6160,6160,6160,8
19/05/2014 10:38:00,6176,6182,6176,6182,14
19/05/2014 10:39:00,6182,6184,6182,6184,26
19/05/2014 10:43:00,6184,6184,6184,6184,2
19/05/2014 10:44:00,6184,6184,6184,6184,10
19/05/2014 10:46:00,6182,6182,6182,6182,2
19/05/2014 10:47:00,6180,6180,6180,6180,10
19/05/2014 11:10:00,6178,6178,6178,6178,2
19/05/2014 11:24:00,6170,6170,6170,6170,20
19/05/2014 11:27:00,6170,6174,6170,6174,14
19/05/2014 13:30:00,6174,6174,6174,6174,8
19/05/2014 13:32:00,6178,6178,6178,6178,2
19/05/2014 13:38:00,6170,6170,6170,6170,12
19/05/2014 13:39:00,6168,6168,6168,6168,14
19/05/2014 13:40:00,6174,6174,6168,6168,8
19/05/2014 13:43:00,6174,6174,6174,6174,2
19/05/2014 13:44:00,6178,6178,6178,6178,2
19/05/2014 13:45:00,6168,6168,6168,6168,2
19/05/2014 13:48:00,6176,6176,6176,6176,2
19/05/2014 13:49:00,6174,6174,6174,6174,4
19/05/2014 13:55:00,6170,6170,6170,6170,2
19/05/2014 14:03:00,6170,6170,6170,6170,4
19/05/2014 14:04:00,6170,6170,6170,6170,18
19/05/2014 14:06:00,6170,6170,6170,6170,2
19/05/2014 14:08:00,6170,6170,6170,6170,2
19/05/2014 14:10:00,6168,6168,6168,6168,2
19/05/2014 14:11:00,6170,6170,6170,6170,4
19/05/2014 14:12:00,6170,6170,6170,6170,2
19/05/2014 14:16:00,6174,6174,6174,6174,4
19/05/2014 14:18:00,6172,6172,6170,6170,20
19/05/2014 14:19:00,6174,6174,6174,6174,6
19/05/2014 14:20:00,6170,6170,6170,6170,2
19/05/2014 14:29:00,6168,6168,6168,6168,6
19/05/2014 14:30:00,6166,6166,6166,6166,12
19/05/2014 14:34:00,6166,6166,6166,6166,10
19/05/2014 14:44:00,6166,6166,6166,6166,20
19/05/2014 14:45:00,6166,6166,6166,6166,2
19/05/2014 14:46:00,6166,6166,6166,6166,10
19/05/2014 14:48:00,6166,6166,6166,6166,4
19/05/2014 14:49:00,6172,6172,6172,6172,2
19/05/2014 14:51:00,6172,6172,6172,6172,18
19/05/2014 14:53:00,6170,6170,6170,6170,4
19/05/2014 14:54:00,6170,6174,6170,6174,20
19/05/2014 14:56:00,6176,6176,6176,6176,2
