Date,OPEN,HIGH,LOW,Close,VOLUME
 2012/09/20,13.31,13.31,13,13.01,18134616
 2012/09/21,13,13.03,12.83,12.88,15751258
 2012/09/24,12.82,13,12.59,12.91,17905626
 2012/09/25,12.88,12.88,12.7,12.74,9882594
 2012/09/26,12.75,12.79,12.6,12.64,7078915
 2012/09/27,12.64,13.26,12.63,13.03,21538708
 2012/09/28,12.95,13.15,12.89,13.13,15095772
 2012/10/08,13.14,13.23,12.9,12.96,10638633
 2012/10/09,13,13.33,13,13.29,16481579
 2012/10/10,13.29,13.3,13.2,13.29,9976558
 2012/10/11,13.3,13.3,13.18,13.22,9574790
 2012/10/12,13.27,13.43,13.21,13.29,10145190
 2012/10/15,13.3,13.31,13.05,13.1,8911948
 2012/10/16,13.13,13.35,13.07,13.22,12634649
 2012/10/17,13.27,13.38,13.23,13.36,12188114
 2012/10/18,13.38,13.56,13.35,13.51,15917879
 2012/10/19,13.42,13.46,13.36,13.43,10071311
 2012/10/22,13.38,13.51,13.29,13.47,13408932
 2012/10/23,13.48,13.5,13.27,13.3,11680820
 2012/10/24,13.27,13.4,13.23,13.29,8995284
 2012/10/25,13.32,13.34,13.19,13.21,12337754
 2012/10/26,13.27,13.3,12.9,12.93,17138012
 2012/10/29,12.9,13.05,12.87,12.94,12964193
 2012/10/30,12.94,13.14,12.92,13.09,14292166
 2012/10/31,13.12,13.21,13.06,13.16,7512545
 2012/11/01,13.16,13.51,13.15,13.38,13800345
 2012/11/02,13.38,13.57,13.37,13.53,16333697
 2012/11/05,13.54,13.71,13.5,13.61,14675465
 2012/11/06,13.59,13.62,13.38,13.58,13017945
 2012/11/07,13.51,13.63,13.43,13.55,8816884
 2012/11/08,13.44,13.53,13.38,13.38,8472817
 2012/11/09,13.37,13.44,13.33,13.42,6217075
 2012/11/12,13.39,13.63,13.38,13.62,14534904
 2012/11/13,13.61,13.61,13.38,13.42,9993534
 2012/11/14,13.5,13.5,13.33,13.38,7526378
 2012/11/15,13.3,13.39,13.1,13.15,7651970
 2012/11/16,13.1,13.15,12.92,13.1,14755857
 2012/11/19,13.02,13.11,12.93,13.09,9836934
 2012/11/20,13.09,13.11,12.92,13.08,7975806
 2012/11/21,13.04,13.3,12.99,13.26,10792687
 2012/11/22,13.24,13.26,13.11,13.15,4858906
 2012/11/23,13.19,13.33,13.14,13.26,8031817
 2012/11/26,13.24,13.25,13.1,13.13,5737293
 2012/11/27,13.08,13.19,13.06,13.18,8875244
 2012/11/28,13.12,13.19,13.08,13.09,7213613
 2012/11/29,13.09,13.1,12.74,12.74,20497422
 2012/11/30,12.7,12.88,12.7,12.8,9664616
 2012/12/03,12.81,12.83,12.5,12.56,14072783
 2012/12/04,12.56,12.77,12.48,12.7,11692406
 2012/12/05,12.66,13.47,12.63,13.39,40236392
 2012/12/06,13.35,13.56,13.31,13.51,36101524
 2012/12/07,13.51,14.03,13.48,14.02,45656784
 2012/12/10,14.15,14.42,13.87,14.32,48181440
 2012/12/11,14.2,14.37,14.09,14.11,26068304
 2012/12/12,14.13,14.39,14.09,14.24,22739652
 2012/12/13,14.19,14.22,14.05,14.06,18964924
 2012/12/14,14.04,15.2,14.02,15.18,77413768
 2012/12/17,15.2,15.32,15,15.22,48778000
 2012/12/18,15.15,15.47,15.04,15.25,41162952
 2012/12/19,15.2,15.34,15.14,15.18,27157618
 2012/12/20,15.1,15.15,14.78,15.11,29347538
 2012/12/21,15.08,15.14,14.85,14.87,24527160
 2012/12/24,14.84,15.21,14.82,14.92,21777834
 2012/12/25,14.89,15.58,14.8,15.41,44988144
 2012/12/26,15.4,15.45,15.25,15.37,30801434
 2012/12/27,15.43,15.56,15.27,15.48,28363030
 2012/12/28,15.45,15.78,15.37,15.6,24234912
 2012/12/31,15.71,16.17,15.65,16.02,37868420
 2013/01/04,16.32,16.45,15.92,15.99,44385136
 2013/01/07,15.98,16.35,15.88,16.3,35716924
 2013/01/08,16.3,16.37,15.86,16,31247912
 2013/01/09,15.96,16.02,15.8,15.86,25132916
 2013/01/10,15.86,16.1,15.79,15.87,24003028
 2013/01/11,15.87,16.04,15.45,15.54,25126856
 2013/01/14,15.49,17.09,15.49,17.09,93989592
 2013/01/15,17.12,17.92,17.09,17.61,98406440
 2013/01/16,17.61,17.91,17.22,17.82,68270096
 2013/01/17,17.7,18.28,17.46,17.74,67577208
 2013/01/18,17.87,18.42,17.6,18.33,66536764
 2013/01/21,18.3,19.7,17.99,19.7,78213640
 2013/01/22,19.46,20.9,19.33,20.48,106876960
 2013/01/23,20.01,20.41,19.3,20.05,63569848
 2013/01/24,20.03,20.58,19.3,19.45,85723640
 2013/01/25,19.5,19.58,18.94,19.15,61431248
 2013/01/28,19.16,21.07,19.16,21.07,116399520
 2013/01/29,21.3,21.55,20.63,21.38,108289496
 2013/01/30,21.1,21.34,20.8,21.33,58362496
 2013/01/31,21.27,21.34,20.8,21.1,41588420
 2013/02/01,21.02,22.55,20.79,22.43,82408048
 2013/02/04,22.26,22.79,21.71,22.01,85742000
 2013/02/05,21.74,22.16,21.19,21.78,42689100
 2013/02/06,21.7,21.98,21.45,21.86,38082656
 2013/02/07,21.7,21.81,20.31,20.85,58612692
 2013/02/08,20.78,21.05,20.39,20.75,46202464
 2013/02/18,20.91,21.49,20.73,20.9,42181312
 2013/02/19,20.8,21.11,20.67,20.81,48650848
 2013/02/20,20.85,20.99,19.69,20.3,65915768
 2013/02/21,20,20,19.06,19.6,74024480
 2013/02/22,19.5,19.69,18.95,19.12,46859524
 2013/02/25,19.26,20.3,19.22,20.01,61630068
 2013/02/26,19.81,21.97,19.7,20.85,103481472
 2013/02/27,21.01,21.82,20.85,21.02,70067664
 2013/02/28,21.14,23,21.03,23,111989168
 2013/03/01,22.93,23.24,22.37,23.06,103782384
 2013/03/04,22.45,23,21.53,21.75,109877960
 2013/03/05,21.8,23.93,21.79,23.93,116898728
 2013/03/06,24.5,24.71,23.92,24.25,113828104
 2013/03/07,23.95,24.12,22.75,23.74,89267088
 2013/03/08,23.8,23.98,22.46,22.86,92586832
 2013/03/11,22.72,22.98,21.85,22.63,57329336
 2013/03/12,22.6,22.79,21.31,21.72,84076904
 2013/03/13,21.69,22.58,21.61,22.09,83690152
 2013/03/14,22,22.09,21.3,21.67,57785360
 2013/03/15,21.66,22.63,20.8,22.2,94357408
 2013/03/18,21.7,22,21.21,21.35,74529480
 2013/03/19,21.3,21.73,21.04,21.5,52977120
 2013/03/20,21.43,23.27,21.4,23.1,130937024
 2013/03/21,22.99,23.21,22.68,22.96,71531768
 2013/03/22,22.95,23.14,22.78,23.03,41182524
 2013/03/25,23.13,23.28,22.67,22.76,45289372
 2013/03/26,22.59,22.59,22.08,22.14,55977300
 2013/03/27,22.17,22.67,21.92,22.15,38599692
 2013/03/28,21,21,19.94,20.02,117504328
 2013/03/29,20.02,20.37,19.64,20.12,56984840
 2013/04/01,20.2,20.6,20.1,20.39,38554184
 2013/04/02,20.38,20.9,20.19,20.44,46305476
 2013/04/03,20.56,20.79,20.31,20.45,22458964
 2013/04/08,19.79,20.1,19.58,19.93,40771476
 2013/04/09,19.99,20.26,19.91,19.94,38049112
 2013/04/10,19.88,19.9,19.13,19.4,50776708
 2013/04/11,19.59,19.7,19.29,19.41,31178900
 2013/04/12,19.45,19.48,18.8,18.9,80532280
 2013/04/15,18.94,19.06,18.41,18.56,57095700
 2013/04/16,18.33,18.76,18.1,18.75,65549248
 2013/04/17,18.7,18.77,18.05,18.49,64270316
